"ГАЗ ГАЗель 2747, 2007",2.5,MT,140 л.с.,299 999 ,₽,2020-07-23 09:59:00,https://www.avito.ru/ufa/avtomobili/gaz_gazel_2747_2007_1971416989
"Chevrolet Cruze, 2014",1.6,MT,109 л.с.,500 000 ,₽,2020-07-23 09:30:00,https://www.avito.ru/ufa/avtomobili/chevrolet_cruze_2014_1889169542
"LADA Granta, 2017",1.6,MT,87 л.с.,380 000 ,₽,2020-07-23 02:46:00,https://www.avito.ru/ufa/avtomobili/lada_granta_2017_1940136238
"LADA Kalina, 2015",1.6,MT,87 л.с.,315 000 ,₽,2020-07-22 23:15:00,https://www.avito.ru/ufa/avtomobili/lada_kalina_2015_1865075333
"LADA Priora, 2008",1.6,MT,98 л.с.,190 000 ,₽,2020-07-22 23:10:00,https://www.avito.ru/ufa/avtomobili/lada_priora_2008_1862272857
"LADA Kalina, 2011",1.6,MT,84 л.с.,200 000 ,₽,2020-07-22 23:04:00,https://www.avito.ru/ufa/avtomobili/lada_kalina_2011_1955789768
"ГАЗ ГАЗель 3302, 2014",2.9,MT,107 л.с.,397 000 ,₽,2020-07-22 22:43:00,https://www.avito.ru/ufa/avtomobili/gaz_gazel_3302_2014_1963078296
"ВАЗ 2107, 2005",1.6,MT,75 л.с.,75 000 ,₽,2020-07-22 22:40:00,https://www.avito.ru/ufa/avtomobili/vaz_2107_2005_1961978326
"ГАЗ Соболь 2752, 2014",2.9,MT,107 л.с.,500 000 ,₽,2020-07-22 22:31:00,https://www.avito.ru/ufa/avtomobili/gaz_sobol_2752_2014_1959719008
"ВАЗ 2114 Samara, 2009",1.6,MT,81 л.с.,80 000 ,₽,2020-07-22 21:09:00,https://www.avito.ru/chishmy/avtomobili/vaz_2114_samara_2009_1963401613
"ВАЗ 2114 Samara, 2013",1.6,MT,82 л.с.,169 999 ,₽,2020-07-22 19:55:00,https://www.avito.ru/ufa/avtomobili/vaz_2114_samara_2013_1928628419
"LADA Granta, 2017",1.6,MT,87 л.с.,323 000 ,₽,2020-07-22 19:26:00,https://www.avito.ru/ufa/avtomobili/lada_granta_2017_1967645300
"Datsun on-DO, 2014",1.6,AT,87 л.с.,310 000 ,₽,2020-07-22 19:14:00,https://www.avito.ru/asha/avtomobili/datsun_on-do_2014_1968824691
"LADA Granta, 2017",1.6,MT,87 л.с.,323 000 ,₽,2020-07-22 18:29:00,https://www.avito.ru/karmaskaly/avtomobili/lada_granta_2017_1975601136
"LADA Granta, 2013",1.6,AT,98 л.с.,319 000 ,₽,2020-07-22 18:23:00,https://www.avito.ru/ufa/avtomobili/lada_granta_2013_1980499285
"LADA Priora, 2017",1.6,MT,87 л.с.,350 000 ,₽,2020-07-22 18:22:00,https://www.avito.ru/ufa/avtomobili/lada_priora_2017_1955781248
"LADA Granta, 2018",1.6,MT,87 л.с.,398 000 ,₽,2020-07-22 18:11:00,https://www.avito.ru/ufa/avtomobili/lada_granta_2018_1924180382
"Renault Logan, 2016",1.6,MT,113 л.с.,412 000 ,₽,2020-07-22 17:59:00,https://www.avito.ru/ufa/avtomobili/renault_logan_2016_1978436302
"LADA Granta, 2018",1.6,MT,87 л.с.,350 000 ,₽,2020-07-22 17:17:00,https://www.avito.ru/ufa/avtomobili/lada_granta_2018_1934132147
"ИЖ 2717, 2010",1.7,MT,85 л.с.,110 000 ,₽,2020-07-22 17:05:00,https://www.avito.ru/ufa/avtomobili/izh_2717_2010_1965534131
"LADA Granta, 2015",1.6,MT,82 л.с.,255 000 ,₽,2020-07-22 17:05:00,https://www.avito.ru/chishmy/avtomobili/lada_granta_2015_1970924747
"LADA Granta, 2012",1.6,MT,98 л.с.,250 000 ,₽,2020-07-22 16:26:00,https://www.avito.ru/ufa/avtomobili/lada_granta_2012_1975192824
"LADA Granta, 2016",1.6,MT,87 л.с.,290 000 ,₽,2020-07-22 16:19:00,https://www.avito.ru/ufa/avtomobili/lada_granta_2016_1948866648
